Domain,Paper Name,Authors,Distinguished,URL
domain_ai_se,Benchmarking Robustness of AI-enabled Multi-sensor Fusion Systems: Challenges and Opportunities,"Xinyu Gao, Zhijie Wang, Yang Feng, Lei Ma, Zhenyu Chen, Baowen Xu",True,No URL available
domain_ai_se,Can Machine Learning Pipelines Be Better Configured?,"Yibo Wang, Ying Wang, Tingwei Zhang, Yue Yu, Shing-Chi Cheung, Hai Yu, Zhiliang Zhu",True,No URL available
domain_ai_se,CARGO: AI-Guided Dependency Analysis for Migrating Monolithic Applications to Microservices Architecture,"Vikram Nitin, Shubhi Asthana, Baishakhi Ray, Rahul Krishna",True,No URL available
domain_ai_se,Uncovering the Causes of Emotions in Software Developer Communication Using Zero-shot LLMs,"Mia Mohammad Imran, Preetha Chatterjee, Kostadin Damevski",False,No URL available
domain_ai_se,Natural Is The Best: Model-Agnostic Code Simplification for Pre-trained Large Language Models,"Yan Wang, Xiaoning Li, Tien N. Nguyen, Shaohua Wang, Chao Ni, Ling Ding",False,No URL available
domain_ai_se,Patching Weak Convolutional Neural Network Models through Modularization and Composition,"Binhang Qi, Hailong Sun, Xiang Gao, Hongyu Zhang",False,No URL available
domain_testing_analysis,Mutation-based Fault Localization of Deep Neural Networks,"Ali Ghanbari, Deepak-George Thomas, Muhammad Arbab Arshad, Hridesh Rajan",True,No URL available
domain_testing_analysis,PHYFU: Fuzzing Modern Physics Simulation Engines,"Dongwei Xiao, Zhibo Liu, Shuai Wang",True,No URL available
domain_testing_analysis,QATest: A Uniform Fuzzing Framework for Question Answering Systems,"Zixi Liu, Yang Feng, Yining Yin, Jingyu Sun, Zhenyu Chen, Baowen Xu",True,No URL available
domain_testing_analysis,Detecting Logic Bugs in Graph Database Management Systems via Injective and Surjective Graph Pattern Transformation,"Yuancheng Jiang, Jiahao Liu, Jinsheng Ba, Roland H. C. Yap, Zhenkai Liang, Manuel Rigger",False,No URL available
domain_testing_analysis,FuzzInMem: Fuzzing Programs via In-memory Structures,"Xuwei Liu, Wei You, Yapeng Ye, Zhuo Zhang, Jianjun Huang, Xiangyu Zhang",False,No URL available
domain_testing_analysis,NaturalFuzz: Natural Input Generation for Big Data Analytics,"Ahmad Humayun, Yaoxuan Wu, Miryung Kim, Muhammad Ali Gulzar",False,No URL available
domain_analytics,Code Search is All You Need? Improving Code Suggestions with Code Search,"Junkai Chen, Xing Hu, Zhenhao Li, Cuiyun Gao, Xin Xia, David Lo",True,No URL available
domain_analytics,TraStrainer: Adaptive Sampling for Distributed Traces with System Runtime State,"Haiyu Huang, Xiaoyu Zhang, Pengfei Chen, Zilong He, Zhiming Chen, Guangba  Yu, Hongyang Chen, Chen Sun",True,No URL available
domain_analytics,Domain Adaptive Code Completion via Language Models and Decoupled Domain Databases,"Ze Tang, Jidong Ge, Shangqing Liu, Tingwei Zhu, Tongtong Xu, Liguo Huang, Bin Luo",True,No URL available
domain_analytics,Learning to Synthesize Relational Invariants,"Jingbo Wang, Chao Wang",False,No URL available
domain_analytics,Learning Graph-based Code Representations for Source-level Functional Similarity Detection,"Jiahao Liu, Jun Zeng, Xiang Wang, Zhenkai Liang",False,No URL available
domain_analytics,From Misuse to Mastery: Enhancing Code Generation with Knowledge-Driven AI Chaining,"Xiaoxue Ren, Xinyuan Ye, Dehai Zhao, Zhenchang Xing, Xiaohu Yang",False,No URL available
domain_evolution,Understanding Developers' Discussions and Perceptions on Non-Functional Requirements: The Case of the Spring Ecosystem,"Anderson Oliveira, João Lucas Correia, Wesley Assunção, Juliana Alves Pereira, Rafael de Mello, Daniel Coutinho, Caio Barbosa, Paulo Vítor C. F. Libório, Alessandro Garcia",True,No URL available
domain_evolution,HyperAST: Enabling Efficient Analysis of Software Histories at Scale,"Quentin Le-dilavrec, Djamel Eddine Khelladi, Arnaud Blouin, Jean-Marc Jézéquel",True,No URL available
domain_evolution,Hard to Read and Understand Pythonic Idioms? DeIdiom and Explain Them in Non-Idiomatic Equivalent Code,"zejun zhang, Zhenchang Xing, Dehai Zhao, Qinghua Lu, Xiwei (Sherry) Xu, Liming Zhu",True,No URL available
domain_evolution,Evaluating Code Summarization Techniques: A New Metric and an Empirical Characterization,"Antonio Mastropaolo, Matteo Ciniselli, Massimiliano Di Penta, Gabriele Bavota",False,No URL available
domain_evolution,"Fine-grained, accurate and scalable source differencing","Jean-Rémy Falleri, Matias Martinez",False,No URL available
domain_evolution,Where to Go Now? Finding Alternatives for Declining Packages in the npm Ecosystem,"Suhaib Mujahid, Diego Costa, Rabe Abdalkareem, Emad Shihab",False,No URL available
domain_requirements_modelling,A Qualitative Study on the Implementation Design Decisions of Developers,"Jenny T. Liang, Maryam Arab, Minhyuk Ko, Amy Ko, Thomas LaToza",True,No URL available
domain_requirements_modelling,Detecting Smart Home Automation Application Interferences with Domain Knowledge,"Tao Wang, Wei Chen, Liwei Liu, Guoquan Wu, Jun Wei, Tao Huang",True,No URL available
domain_requirements_modelling,Compiler Testing using Template Java Programs,"Zhiqiang Zang, Nathan Wiatrek, Milos Gligoric, August Shi",True,No URL available
domain_requirements_modelling,Unsupervised Summarization of Privacy Concerns in Mobile Application Reviews,"Fahimeh Ebrahimi, Anas ""Nash"" Mahmoud",False,No URL available
domain_requirements_modelling,Automatically Detecting Visual Bugs in HTML5 <canvas> Games,"Finlay Macklon, Mohammad Reza Taesiri, Markos Viggiato, Stefan Antoszko, Natalia Romanova, Dale Paas, Cor-Paul Bezemer",False,No URL available
domain_requirements_modelling,An Energy-Aware Approach to Design Self-Adaptive AI-based Applications on the Edge,"Alessandro Tundo, Marco Mobilio, Shashikant Ilager, Ivona Brandic, Ezio Bartocci, Leonardo Mariani",False,No URL available
domain_human_social,A Longitudinal Study of Student Contributions to OSS vs. OSS4SG with a Lightweight Intervention,"Zihan Fang, Madeline Endres, Thomas Zimmermann, Denae Ford, Westley Weimer, Kevin Leach, Yu Huang",True,No URL available
domain_human_social,Do I Belong? Modeling Sense of Virtual Community Among Linux Kernel Contributors,"Bianca Trinkenreich, Klaas-Jan Stol, Anita Sarma, Daniel M. German, Marco Gerosa, Igor Steinmacher",True,No URL available
domain_human_social,Causal Relationships and Programming Outcomes: A Transcranial Magnetic Stimulation Experiment,"Hammad Ahmad, Madeline Endres, Kaia Newman, Priscila Santiesteban, Emma Shedden, Westley Weimer",True,No URL available
domain_human_social,[Remote] Understanding the topics and challenges of GPU programming by classifying and analyzing Stack Overflow posts,"Wenhua Yang, Chong Zhang, Minxue Pan",False,No URL available
domain_human_social,An Analysis of the Costs and Benefits of Autocomplete in IDEs,"Shaokang Jiang, Michael Coblenz",False,No URL available
domain_human_social,Unveiling the Life Cycle of User Feedback: Best Practices from Software Practitioners,"Ze Shi Li, Nowshin Nawar Arony, Kezia Devathasan, Manish Sihag, Neil Ernst, Daniela Damian",False,No URL available
domain_dependability_security,Static Application Security Testing (SAST) Tools for Smart Contracts: How Far Are We?,"Kaixuan Li, Yue Xue, Sen Chen, Han Liu, Kairan Sun, Ming Hu, Haijun Wang, Yang Liu, Yixiang Chen",True,No URL available
domain_dependability_security,Mate! Are You Really Aware? An Explainability-Guided Testing Framework for Robustness of Malware Detectors,"Ruoxi Sun, Jason Minhui Xue, Gareth Tyson, Tian Dong, Shaofeng Li, Shuo Wang, Haojin Zhu, Seyit Camtepe, Surya Nepal",True,No URL available
domain_dependability_security,[Remote] TransRacer: Function Dependence-Guided Transaction Race Detection for Smart Contracts,"Chenyang Ma, Wei Song, Jeff Huang",True,No URL available
domain_dependability_security,An Empirical Study of Automation in Software Security Patch Management,"Nesara Dissanayake, Asangi Jayatilaka, Mansooreh Zahedi, Muhammad Ali Babar",False,No URL available
domain_dependability_security,REDriver: Runtime Enforcement for Autonomous Vehicles,"Yang Sun, Chris Poskitt, Xiaodong Zhang, Jun Sun",False,No URL available
domain_dependability_security,Precise (Un)Affected Version Analysis for Web Vulnerabilities,"ShiYoukun, Yuan Zhang, Tianhan Luo, Xiangyu Mao, Min Yang",False,No URL available
